ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-0-482-35715-1,Configurable motivating protocol,Kelly Bell,Young Adult,1952,7,2025-12-13,Reserved,978-0-482-35715-1
978-1-86395-613-0,Adaptive transitional implementation,Henry Jones-Preston,Fiction,1955,5,2017-03-04,Missing,978-1-86395-613-0
978-0-308-17214-2,Proactive 4thgeneration focus group,Dr Gavin Whittaker,Non-Fiction,1984,10,2021-03-22,Missing,978-0-308-17214-2
978-1-4381-3000-2,Assimilated stable website,Albert Bevan-Roberts,Fiction,1990,0,2022-08-08,Reserved,978-1-4381-3000-2
978-0-321-14716-5,Digitized bottom-line artificial intelligence,Dr Michelle Kennedy,Non-Fiction,2022,0,2016-11-25,Checked Out,978-0-321-14716-5
978-1-09-456534-7,Networked tangible Graphical User Interface,Nathan Robinson,Children,2005,0,2020-06-20,Checked Out,978-1-09-456534-7
978-1-990707-55-1,Multi-lateral real-time portal,David Morris,Reference,1995,8,2023-03-29,Damaged,978-1-990707-55-1
9781768169956,Up-sized bandwidth-monitored installation,Gavin Evans,Reference,1999,6,2024-08-29,Available,9781768169956
978-0-607-17481-6,Customer-focused directional interface,Dr Bruce O'Brien,Reference,2003,3,2024-02-10,Reserved,978-0-607-17481-6
978-0-17-653970-2,Distributed 5thgeneration moratorium,Mrs Amelia Day,Children,2009,6,2017-07-02,Available,978-0-17-653970-2
978-1-873961-02-5,Ameliorated tertiary standardization,Mrs Jemma Bennett,Young Adult,1991,1,2024-10-19,Checked Out,978-1-873961-02-5
978-1-182-74968-0,Robust object-oriented firmware,Henry Chamberlain,Fiction,1957,1,2019-06-11,Missing,978-1-182-74968-0
978-1-918727-42-5,Reactive asynchronous solution,Andrea Bailey-Davies,Children,1966,6,2024-01-11,Checked Out,978-1-918727-42-5
978-1-956121-37-7,Digitized empowering standardization,Derek Brown,Non-Fiction,1998,4,2023-11-26,Reserved,978-1-956121-37-7
978-0-06-260423-1,Re-contextualized system-worthy framework,Denise Webster,Fiction,2017,0,2024-06-23,Checked Out,978-0-06-260423-1
978-1-371-12229-4,Synchronized maximized hub,Dr Lorraine Archer,Children,1994,9,2026-02-12,Reserved,978-1-371-12229-4
978-1-75608-581-7,Object-based contextually-based array,Chloe Scott,Fiction,2014,5,2018-11-08,Missing,978-1-75608-581-7
978-1-04-686111-4,Enterprise-wide regional hub,Amy Bell,Non-Fiction,1991,6,2026-01-04,Reserved,978-1-04-686111-4
978-1-76832-102-6,Reverse-engineered mission-critical workforce,Mrs Nicola Miller,Non-Fiction,1993,2,2017-11-03,Reserved,978-1-76832-102-6
9780378584715,Customer-focused hybrid Graphical User Interface,Mr Ricky Nicholls,Non-Fiction,2010,7,2020-04-12,Missing,9780378584715
978-1-180-33242-6,Phased systematic alliance,Dr Hugh Wallis,Children,1954,7,2017-08-22,Damaged,978-1-180-33242-6
978-0-508-01849-3,Face-to-face multi-tasking monitoring,Annette Long,Children,1991,7,2016-09-05,Checked Out,978-0-508-01849-3
978-1-253-73377-8,Mandatory responsive migration,Andrea King,Young Adult,1982,8,2021-03-13,Reserved,978-1-253-73377-8
978-0-12-688122-6,Enterprise-wide radical artificial intelligence,Adrian Potts,Non-Fiction,1992,1,2017-10-14,Checked Out,978-0-12-688122-6
978-0-7819-2365-1,Automated background open architecture,Mrs Melanie Walsh,Non-Fiction,1992,8,2018-10-08,Reserved,978-0-7819-2365-1
978-1-60605-603-5,Configurable well-modulated neural-net,Dominic Parsons,Young Adult,2008,9,2020-08-09,Available,978-1-60605-603-5
978-1-79327-986-6,Enterprise-wide contextually-based focus group,Tracy Dennis,Fiction,2012,5,2025-09-25,Checked Out,978-1-79327-986-6
978-0-9847169-0-6,Upgradable 4thgeneration standardization,Jayne Webster,Non-Fiction,2011,9,2017-01-15,Checked Out,978-0-9847169-0-6
978-0-8120-5464-4,Synergistic non-volatile help-desk,Mr Jason Farrell,Reference,1985,9,2022-05-08,Damaged,978-0-8120-5464-4
978-1-4895-4787-3,Team-oriented encompassing extranet,Dr Stephen Edwards,Children,1970,3,2020-06-30,Missing,978-1-4895-4787-3
978-0-7517-5889-4,Configurable grid-enabled orchestration,Craig Faulkner,Young Adult,2013,4,2017-11-02,Missing,978-0-7517-5889-4
978-1-4449-8355-5,Reverse-engineered mobile info-mediaries,Tom White-Henderson,Reference,1956,2,2017-02-25,Available,978-1-4449-8355-5
978-0-543-58644-5,Ergonomic value-added open architecture,Melanie Roberts,Non-Fiction,2016,5,2019-11-14,Reserved,978-0-543-58644-5
978-0-924358-85-2,Reverse-engineered bottom-line frame,Louise Nelson,Fiction,2006,0,2024-06-13,Available,978-0-924358-85-2
978-1-9821-4339-8,Triple-buffered mission-critical concept,Melanie Patel-Long,Reference,1983,1,2019-12-08,Reserved,978-1-9821-4339-8
9780753674970,Profound context-sensitive approach,Stanley Thomas,Reference,1960,2,2020-08-20,Reserved,9780753674970
9780491416863,Organized multimedia ability,Louis Bell,Non-Fiction,2003,9,2018-06-29,Reserved,9780491416863
9780347789486,Face-to-face multi-state structure,Melissa Taylor-Burrows,Young Adult,1990,3,2019-02-23,Missing,9780347789486
9780406791764,Centralized system-worthy help-desk,Robert Morris,Children,1958,3,2020-10-20,Missing,9780406791764
978-1-122-15001-9,Re-contextualized zero administration hub,Colin Saunders,Young Adult,1998,3,2016-10-02,Reserved,978-1-122-15001-9
978-0-88421-630-8,Upgradable contextually-based utilization,Toby Reid,Non-Fiction,1986,6,2018-01-25,Available,978-0-88421-630-8
978-0-15-944633-1,Adaptive tangible firmware,Robin Morris-Watson,Children,1966,6,2022-08-25,Checked Out,978-0-15-944633-1
9781853208959,Versatile asynchronous architecture,Gerald Wilkins-Hopkins,Fiction,1984,0,2026-05-20,Missing,9781853208959
978-0-638-90219-8,Polarized actuating contingency,Robin Wood-Cooper,Children,1968,0,2017-06-02,Damaged,978-0-638-90219-8
978-1-113-63379-8,Team-oriented methodical contingency,Dr Richard Hayes,Non-Fiction,1976,4,2023-10-20,Damaged,978-1-113-63379-8
978-0-341-03469-8,Configurable 5thgeneration toolset,Lynne Marsden,Fiction,1958,8,2016-08-29,Missing,978-0-341-03469-8
9781331167723,Expanded 24/7 neural-net,Lucy Brown,Young Adult,2017,7,2024-05-06,Checked Out,9781331167723
978-1-08-437685-4,Reduced background framework,Nathan Todd-Smart,Young Adult,1968,8,2018-11-15,Checked Out,978-1-08-437685-4
978-0-7896-7935-2,Function-based asymmetric toolset,Ms Joanne Davies,Young Adult,1994,9,2023-07-25,Checked Out,978-0-7896-7935-2
978-0-9626335-5-3,Programmable radical concept,Margaret Jones,Non-Fiction,2014,0,2018-10-22,Reserved,978-0-9626335-5-3
9781343697096,Focused optimizing Local Area Network,Ruth Henderson,Fiction,1958,7,2021-03-19,Available,9781343697096
978-0-7069-5560-6,Enhanced multi-tasking knowledge user,Alan Kelly,Young Adult,1956,3,2025-12-02,Checked Out,978-0-7069-5560-6
9781761645341,User-friendly 6thgeneration framework,Megan O'Sullivan,Non-Fiction,1957,8,2023-03-15,Reserved,9781761645341
978-1-72239-898-9,Profit-focused 3rdgeneration support,Paul Brown,Children,1986,1,2025-11-18,Missing,978-1-72239-898-9
9780650312197,Synergistic user-facing knowledgebase,Allan Bird,Children,1981,6,2023-09-04,Damaged,9780650312197
978-1-184-72426-5,Persevering user-facing alliance,Dale Hill,Fiction,1973,10,2020-03-06,Available,978-1-184-72426-5
978-0-364-28131-4,Multi-layered dynamic throughput,Dylan Scott,Reference,1975,1,2018-05-18,Checked Out,978-0-364-28131-4
978-0-487-62303-9,Progressive fresh-thinking function,Jade Blake,Young Adult,2020,8,2023-08-25,Available,978-0-487-62303-9
978-0-14-281785-8,Self-enabling solution-oriented firmware,Sara Davies-Goodwin,Non-Fiction,1958,0,2023-06-26,Missing,978-0-14-281785-8
978-0-8230-5248-6,Reduced heuristic extranet,Chloe Davies-Martin,Non-Fiction,2003,7,2019-01-19,Damaged,978-0-8230-5248-6
978-0-622-07223-4,Enhanced holistic structure,Toby Lowe,Young Adult,2008,7,2020-02-14,Damaged,978-0-622-07223-4
978-1-7372132-9-1,Managed asymmetric access,Marcus Butler,Non-Fiction,2003,5,2022-10-30,Damaged,978-1-7372132-9-1
978-0-620-47876-2,Customer-focused leadingedge attitude,Amber King,Young Adult,1989,5,2019-03-25,Reserved,978-0-620-47876-2
978-1-85996-486-6,Inverse dynamic artificial intelligence,Dr Dawn Davies,Children,1992,9,2020-06-18,Available,978-1-85996-486-6
978-1-203-19541-0,Advanced next generation synergy,Maurice Macdonald,Non-Fiction,1982,8,2024-09-11,Available,978-1-203-19541-0
978-1-64505-730-7,Function-based modular methodology,Roger Smith,Reference,1992,4,2021-08-11,Checked Out,978-1-64505-730-7
978-1-279-24632-0,Reactive bottom-line synergy,Charlie Wilkinson,Children,1964,1,2020-03-07,Available,978-1-279-24632-0
978-0-7476-7753-6,De-engineered even-keeled leverage,Simon Mann,Non-Fiction,1998,9,2023-08-30,Checked Out,978-0-7476-7753-6
9780603214509,Advanced stable capability,Dr Keith Clark,Reference,1990,5,2022-07-28,Checked Out,9780603214509
978-1-66194-588-6,Re-contextualized mission-critical extranet,Dr Rhys Jackson,Non-Fiction,1956,8,2026-05-11,Missing,978-1-66194-588-6
978-0-7155-3482-3,Cross-group intangible open architecture,Samuel Forster-Carr,Non-Fiction,1974,3,2024-11-07,Checked Out,978-0-7155-3482-3
978-0-284-00838-1,Monitored systematic service-desk,Georgina Hussain,Fiction,1976,5,2017-08-23,Available,978-0-284-00838-1
978-0-7659-7595-9,Seamless 3rdgeneration methodology,Vanessa Dixon,Children,2016,5,2019-04-12,Reserved,978-0-7659-7595-9
978-1-08-917768-5,Customizable radical solution,Miss Carly Carr,Fiction,2009,0,2018-11-19,Checked Out,978-1-08-917768-5
978-0-265-74223-5,Assimilated homogeneous solution,Mrs Cheryl Brown,Young Adult,1982,0,2021-04-14,Damaged,978-0-265-74223-5
978-1-4630-0402-6,Future-proofed zero tolerance model,Dr Jonathan Morgan,Non-Fiction,2004,0,2018-02-09,Damaged,978-1-4630-0402-6
9781936268948,Open-source maximized capability,Raymond Farmer,Young Adult,1986,1,2023-08-24,Reserved,9781936268948
978-0-12-047137-9,Streamlined explicit matrix,Beth Jackson,Fiction,1988,4,2024-03-14,Missing,978-0-12-047137-9
978-1-117-59574-0,Polarized heuristic core,Ms Amanda Wood,Young Adult,2005,2,2026-02-18,Available,978-1-117-59574-0
978-1-82984-933-9,Managed static portal,Jeremy Chadwick-Simpson,Young Adult,1986,8,2017-08-18,Checked Out,978-1-82984-933-9
978-1-74584-760-0,Ergonomic directional architecture,Dennis Reid-Patel,Children,1967,7,2019-03-07,Missing,978-1-74584-760-0
978-1-128-33372-0,Devolved dynamic contingency,Lynne Sullivan-Dodd,Young Adult,1981,0,2017-09-23,Checked Out,978-1-128-33372-0
978-1-66695-413-5,Seamless modular neural-net,Lewis Moss,Reference,1986,0,2021-06-18,Damaged,978-1-66695-413-5
9781150666261,Phased mission-critical utilization,Margaret Brookes,Reference,1991,7,2025-09-26,Checked Out,9781150666261
978-0-551-43776-0,Proactive bottom-line middleware,Henry Davies,Children,1971,10,2017-11-29,Available,978-0-551-43776-0
978-1-63439-252-5,Customizable user-facing implementation,Graeme Field-Sanderson,Non-Fiction,1979,5,2025-10-15,Missing,978-1-63439-252-5
978-1-111-10286-9,Multi-lateral upward-trending data-warehouse,Mr Elliot Smith,Reference,1976,7,2025-03-25,Damaged,978-1-111-10286-9
978-0-200-72024-3,Future-proofed mobile Internet solution,Marc Hodgson,Fiction,1970,5,2020-03-16,Missing,978-0-200-72024-3
9781910245101,Future-proofed fault-tolerant ability,Dr Jayne Nolan,Non-Fiction,2018,4,2022-05-31,Missing,9781910245101
978-0-903267-14-4,Innovative coherent Graphical User Interface,Amanda Lewis,Reference,1960,9,2020-06-18,Missing,978-0-903267-14-4
978-0-942179-42-2,Focused 24hour product,Stephen Ford,Children,1995,1,2022-12-21,Damaged,978-0-942179-42-2
978-1-934065-27-3,Quality-focused mobile conglomeration,Gail Barrett,Children,2024,1,2021-12-06,Missing,978-1-934065-27-3
978-1-84466-345-3,Ergonomic upward-trending adapter,Karen Garner,Children,1990,6,2024-08-07,Reserved,978-1-84466-345-3
978-0-7220-1091-4,Optimized responsive project,Dr Jennifer King,Children,2005,4,2021-11-12,Reserved,978-0-7220-1091-4
978-0-7221-4559-3,Synchronized bottom-line installation,Peter Wallis-Perry,Non-Fiction,1980,9,2017-03-12,Available,978-0-7221-4559-3
978-1-66189-437-5,Customer-focused dynamic throughput,Robin Davies-Simpson,Fiction,1983,1,2023-05-26,Reserved,978-1-66189-437-5
9781263510048,Reverse-engineered full-range moratorium,Paula Morris,Non-Fiction,1988,2,2017-04-01,Missing,9781263510048
978-0-7765-7256-7,Integrated 6thgeneration frame,Louis Walker,Young Adult,2013,8,2018-11-28,Reserved,978-0-7765-7256-7
978-0-02-461752-1,Automated disintermediate workforce,Molly Thornton,Children,1982,7,2019-07-08,Available,978-0-02-461752-1
978-0-389-74326-2,Persevering explicit architecture,Ms Katie O'Brien,Fiction,2014,9,2021-10-04,Damaged,978-0-389-74326-2
978-0-559-55017-1,Multi-channeled incremental definition,Mr Phillip Miles,Young Adult,1994,0,2024-12-24,Available,978-0-559-55017-1
978-0-258-48689-4,Switchable 24hour contingency,Zoe Kennedy,Children,1998,7,2025-06-28,Available,978-0-258-48689-4
978-1-07-984870-0,Cross-group modular product,Hugh Browne,Reference,1979,6,2025-05-25,Damaged,978-1-07-984870-0
978-1-06-917679-0,Decentralized next generation conglomeration,Mitchell Rees,Non-Fiction,1993,0,2016-10-07,Checked Out,978-1-06-917679-0
978-1-937440-39-8,Total fresh-thinking archive,Ann Price,Reference,1953,0,2022-08-07,Reserved,978-1-937440-39-8
978-1-4083-0373-3,Multi-channeled secondary model,Holly Nicholls,Fiction,2009,7,2025-03-03,Available,978-1-4083-0373-3
978-0-601-48860-5,Re-engineered intangible secured line,Carolyn Ross,Young Adult,1980,4,2017-11-25,Damaged,978-0-601-48860-5
9780793884131,Extended 5thgeneration parallelism,Fiona Allen-Johnston,Fiction,1981,1,2026-02-28,Damaged,9780793884131
978-1-283-06153-7,Open-architected multimedia moderator,Miss Sandra Smith,Fiction,1978,10,2022-12-05,Reserved,978-1-283-06153-7
978-0-12-424462-7,Grass-roots fresh-thinking middleware,Irene Duncan,Fiction,2012,9,2020-07-10,Missing,978-0-12-424462-7
9780251448813,Expanded mission-critical database,Natalie Cross,Non-Fiction,1961,6,2016-11-29,Reserved,9780251448813
978-0-10-314217-3,Upgradable 24hour flexibility,Adam Palmer,Children,2011,5,2020-07-18,Checked Out,978-0-10-314217-3
978-0-88781-794-6,Distributed disintermediate forecast,Craig Owen,Young Adult,1994,4,2023-12-12,Checked Out,978-0-88781-794-6
978-1-152-63840-2,Balanced bottom-line capacity,Marcus Mann,Reference,1975,2,2024-07-14,Missing,978-1-152-63840-2
978-0-225-28837-7,Reverse-engineered executive access,Mr Alexander Archer,Young Adult,2012,10,2022-05-16,Missing,978-0-225-28837-7
978-0-566-18632-5,Devolved actuating matrix,Tony Warner,Children,1961,5,2021-06-12,Available,978-0-566-18632-5
978-1-913787-65-3,Switchable explicit attitude,Lorraine Godfrey-Mason,Young Adult,2000,8,2023-01-04,Missing,978-1-913787-65-3
978-0-00-730950-4,Organized 6thgeneration methodology,Vanessa Smith,Fiction,1994,5,2023-05-26,Damaged,978-0-00-730950-4
978-1-60571-219-2,Sharable stable leverage,Carole Campbell,Fiction,1991,5,2017-04-22,Damaged,978-1-60571-219-2
978-0-7788-5190-5,Front-line holistic encoding,Dr Clive Cox,Young Adult,1960,6,2020-10-10,Damaged,978-0-7788-5190-5
978-0-486-40104-1,Down-sized clear-thinking collaboration,Max Young,Reference,2024,4,2019-07-02,Available,978-0-486-40104-1
9781624561856,Virtual impactful info-mediaries,Jacqueline Talbot,Reference,1980,6,2019-07-26,Checked Out,9781624561856
978-1-4460-0452-4,Vision-oriented object-oriented ability,Jordan Willis,Young Adult,1982,6,2020-04-20,Available,978-1-4460-0452-4
978-0-89915-114-4,Robust directional hub,Adam Connolly,Children,2022,5,2019-06-21,Reserved,978-0-89915-114-4
978-1-129-39130-9,Quality-focused zero tolerance hub,Kieran George,Fiction,2002,1,2019-08-09,Available,978-1-129-39130-9
978-1-881898-48-1,Profound real-time website,Miss Marion Bailey,Non-Fiction,1976,9,2018-12-30,Reserved,978-1-881898-48-1
978-0-604-61540-4,Re-contextualized holistic flexibility,Barry Anderson,Young Adult,1974,2,2019-08-20,Checked Out,978-0-604-61540-4
978-0-19-017075-2,Multi-tiered value-added standardization,Donald Andrews,Children,1997,1,2020-02-07,Missing,978-0-19-017075-2
978-0-429-83152-2,Optimized well-modulated architecture,Lesley Harris,Non-Fiction,1997,6,2016-12-12,Missing,978-0-429-83152-2
978-0-07-322836-5,Configurable web-enabled standardization,Ms Louise Blackburn,Young Adult,1958,9,2025-04-27,Checked Out,978-0-07-322836-5
978-1-937830-63-2,Assimilated responsive array,Mrs Jodie Crawford,Fiction,1968,10,2022-06-07,Damaged,978-1-937830-63-2
978-0-8452-6969-5,Future-proofed composite adapter,Anne Morris,Reference,2007,4,2021-01-31,Missing,978-0-8452-6969-5
978-1-391-64970-2,Vision-oriented contextually-based analyzer,Kieran Morton,Young Adult,2024,7,2018-03-27,Missing,978-1-391-64970-2
9781934292914,Assimilated multi-state challenge,Patricia Davies-French,Children,2017,7,2020-02-03,Missing,9781934292914
978-0-03-301623-0,Persevering upward-trending migration,Kenneth Barber,Reference,2002,3,2023-03-11,Available,978-0-03-301623-0
978-0-903106-15-3,Front-line local collaboration,Nicola Edwards,Reference,2004,3,2021-01-24,Available,978-0-903106-15-3
978-1-221-55668-2,Intuitive modular attitude,Kenneth Black,Children,1970,7,2017-03-07,Available,978-1-221-55668-2
978-1-323-65337-1,Organic maximized extranet,Frederick Lewis,Children,1976,6,2024-12-16,Missing,978-1-323-65337-1
978-1-60406-720-0,Multi-lateral demand-driven synergy,Dr Jonathan Potter,Non-Fiction,1973,5,2019-09-07,Missing,978-1-60406-720-0
978-1-84361-424-1,Fully-configurable foreground Graphic Interface,Dylan Tyler,Fiction,2004,4,2017-09-11,Checked Out,978-1-84361-424-1
978-0-607-81975-5,Future-proofed bi-directional frame,Anna Murray,Non-Fiction,1950,1,2019-05-21,Checked Out,978-0-607-81975-5
978-0-7347-6427-0,Reactive modular capacity,Elaine Metcalfe-Henderson,Young Adult,1986,6,2019-06-09,Missing,978-0-7347-6427-0
978-1-203-76388-6,Versatile impactful superstructure,Shirley Barton,Fiction,1964,7,2022-12-31,Damaged,978-1-203-76388-6
978-0-458-41484-0,Innovative exuding support,Paula Morris,Non-Fiction,1963,9,2025-05-09,Available,978-0-458-41484-0
978-0-19-134438-1,Business-focused non-volatile service-desk,Ms Catherine Porter,Reference,2014,6,2019-10-25,Checked Out,978-0-19-134438-1
978-1-80205-869-7,Pre-emptive object-oriented software,Carol Rose,Young Adult,1952,8,2020-01-19,Reserved,978-1-80205-869-7
978-0-7321-4644-3,Ameliorated multi-tasking moratorium,Shirley Howell,Children,1978,6,2019-11-23,Available,978-0-7321-4644-3
978-1-9995167-9-6,Horizontal full-range flexibility,Mrs Aimee Potter,Young Adult,1969,2,2023-07-24,Checked Out,978-1-9995167-9-6
978-0-505-57385-8,Stand-alone contextually-based portal,Miss Alice Jones,Fiction,2002,3,2024-12-16,Reserved,978-0-505-57385-8
978-0-680-11923-0,Function-based methodical installation,Tony Shah-Jenkins,Young Adult,2010,3,2020-01-14,Reserved,978-0-680-11923-0
978-0-376-81187-5,Object-based neutral encoding,Mrs Stacey Gibson,Young Adult,2008,5,2021-10-02,Damaged,978-0-376-81187-5
978-0-335-10409-3,Grass-roots fault-tolerant algorithm,Fiona Evans,Reference,1987,2,2019-02-11,Missing,978-0-335-10409-3
978-0-497-31539-9,Pre-emptive systematic application,Valerie Williamson,Reference,1989,1,2025-09-07,Available,978-0-497-31539-9
978-0-498-30748-5,Mandatory 3rdgeneration encoding,Oliver Rowe,Children,1951,0,2018-12-10,Checked Out,978-0-498-30748-5
